	author	title	link	tags
0	antonopoulos	Innovateurs, disrupteurs, marginaux et Bitcoin	https://btctouchpoint.com/fr/innovateurs-disrupteurs-marginaux-et-bitcoin/	['andreas', 'antonopoulos', 'bitcoin', 'disruption', 'education-fr', 'innovation']
1	antonopoulos	Inversion d’infrastructure	https://btctouchpoint.com/fr/inversion-dinfrastructure-extrait/	['andreas', 'antonopoulos', 'bitcoin', 'crypto-fr', 'cryptomonnaie-fr', 'disruption', 'education-fr', 'innovation', 'invention-fr']
2	antonopoulos	Réseaux stupides, innovation et festival des biens communs	https://btctouchpoint.com/fr/reseaux-stupides-innovation-et-festival-des-biens-communs/	['andreas', 'antonopoulos', 'bitcoin', 'crypto-fr', 'cryptomonnaie-fr', 'dumb', 'education-fr', 'monnaie-fr', 'network', 'reseau', 'stupide']
3	ammous	L’Étalon Bitcoin de Saifedean Ammous (résumé)	https://btctouchpoint.com/fr/letalon-bitcoin-de-saifedean-ammous-resume/	['ammous-fr', 'bitcoin', 'crypto-fr', 'cryptomonnaie-fr', 'etalon-fr', 'saifedean-fr']
4	ammous	L’Étalon Fiat, de Saifedean Ammous (résumé)	https://btctouchpoint.com/fr/letalon-fiat-de-saifedean-ammous-resume/	['ammous-fr', 'bitcoin', 'crypto-fr', 'cryptomonnaie-fr', 'etalon-fr', 'saifedean-fr']
5	ammous	L’Étalon-Fiat – Fermes Fiat	https://btctouchpoint.com/fr/fermes-fiat/	['agriculture', 'alimentation', 'ammous-fr', 'bitcoin', 'etalon-fr', 'fiat', 'nutrition', 'sante', 'standard']
6	ammous	L’Étalon-Fiat – Régime alimentaire fiat	https://btctouchpoint.com/fr/regime-alimentaire-fiat/	['agriculture', 'alimentation', 'ammous-fr', 'bitcoin', 'etalon-fr', 'fiat', 'nutrition', 'regime', 'sante', 'standard']
7	ammous	L’Étalon-Fiat – Aliments Fiat	https://btctouchpoint.com/fr/letalon-fiat-aliments-fiat/	['agriculture', 'alimentation', 'ammous-fr', 'bitcoin', 'etalon-fr', 'fiat', 'nutrition', 'sante', 'standard']
8	ammous	L’Étalon-Fiat – La récolte de la nourriture fiat	https://btctouchpoint.com/fr/letalon-fiat-la-recolte-de-la-nourriture-fiat/	['agriculture', 'alimentation', 'ammous-fr', 'bitcoin', 'etalon-fr', 'fiat', 'nutrition', 'sante', 'standard']
9	uncategorized	L’Étalon-Fiat – Alimentation saine	https://btctouchpoint.com/fr/letalon-fiat-alimentation-saine/	['agriculture', 'alimentation', 'ammous-fr', 'bitcoin', 'etalon-fr', 'fiat', 'nutrition', 'sante', 'standard']
