	title	subtitle	level	links
0	Couverture contre l'inflation	1. Les monnaies fiat sont fondantes	Niveau 1	"{'Bitcoin Magazine (2023). Cash is trash. Bitcoin fixes this!': 'https://twitter.com/BitcoinMagazine/status/1657758736801312769', ""Tuur Demeester (2023). The Yen is now so light it doesn't even break water tension."": 'https://twitter.com/TuurDemeester/status/933538827351797760', 'Saurel (2023). How the current debt based system enslaves you': 'https://btctouchpoint.com/wp-content/uploads/2023/05/How-the-current-debt-based-system-enslaves-you.jpg', 'Michael Saylor (2023). When the energy is removed from the money, all that remains is garbage.': 'https://twitter.com/saylor/status/1613970763379245058', 'Kal Kassa (2023). Thomas Sowell on inflation...': 'https://twitter.com/KalKassa/status/1656056710602039297', ""Strolight (2020). 9. Pourquoi Bitcoin est La Voie pour sauver l'argent"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-9-pourquoi-bitcoin-est-la-voie-pour-epargner-de-largent/', ""Tomer Strolight (2020). 14. Pourquoi Bitcoin mettra fin au plus grand hold-up de l'histoire ?"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-14-pourquoi-bitcoin-mettra-fin-au-plus-grand-hold-up-de-lhistoire/', ""Gigi (2018). Leçon #9 - L'inflation dans 21 Leçons"": 'https://btctouchpoint.com/fr/21-lecons-2eme-partie/', ""Découvre Bitcoin (2022). L'hyperinflation"": 'https://www.youtube.com/watch?v=cYKmgflsy_8'}"
1	Couverture contre l'inflation	1. Les monnaies fiat sont fondantes	Niveau 2	"{""Alexandre Stachtchenko (2015). Structurellement, si tout se passe bien, alors le système tend vers l'inflation, un vol de temps dans Nos libertés sont attaquées et tout le monde s'en fout !"": 'https://youtu.be/cwqJOl3yan8', 'Breedlove (2023). The hard truth about fiat currency from the author of one of the most important books ever written—The Creature from Jekyll Island.': 'https://twitter.com/Breedlove22/status/1638737716044271616?s=20'}"
2	Couverture contre l'inflation	2. L'inflation est de retour	Niveau 1	"{""BTC TouchPoint (2023). Déguiser l'inflation - Anil"": 'https://twitter.com/Jacques_BTC/status/1632709498715488262', 'P. Herlin (2023). Le poids des dépenses contraintes des Français bondit': 'https://twitter.com/philippeherlin/status/1657795499783536641', 'Loren Boston (2023). How will the EU finance these war expenses?? Taxes? I think not. They will borrow and print...': 'https://twitter.com/LorenBoston/status/1653921699056832512'}"
3	Couverture contre l'inflation	2. L'inflation est de retour	Niveau 2	"{'Philippe Herlin (2023). Inflation, Dette, Déficits et Banques, la France va Droit dans le Mur ! Putsch Media': 'https://www.youtube.com/watch?v=6lus9c2S5HE&t=546s', 'Luke Gromen (2023). The coming productivity boom will cause a huge global deflationary wage shock': 'https://twitter.com/LukeGromen/status/1654839792134156291', ""Marty Bent (2023).\xa0 A reminder that shrinkflation isn't included in the CPI."": 'https://tftc.io/martys-bent/issue-1327-shrinkflation-is-not-included-in-cpi-data/?ref=martys-bent-newsletter', 'Preston Pysh (2023). Why are we seeing inflation?': 'https://twitter.com/PrestonPysh/status/1646888369463361536', 'Tuur Demeester (2023). 33 years ago, Murray Rothbard predicted today\'s problems with the EU\'s bureaucracy and ECB\'s ""inflationary cartel"".': 'https://twitter.com/TuurDemeester/status/1641191497742647297?s=20', 'Jeff Booth (2023). Why Deflation is the Key to Abundance. What Bitcoin Did': 'https://www.youtube.com/watch?v=G2vAm2hfW9U'}"
4	Couverture contre l'inflation	3. Bitcoin pour conserver la valeur	Niveau 1	"{""Anil (2021). Couverture contre l'inflation. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Couverture-contre-linflation.png', 'Anil (2023). Save your savings. Save in sats.': 'https://twitter.com/anilsaidso/status/1656049972322930689', 'Anil (2022). Bitcoin’s supply is unaffected by fluctuations in the amount of energy employed in its production.': 'https://twitter.com/anilsaidso/status/1582795811150520320', 'Croesus (2021). Dollars, gold, Bitcoin - which is the best for storing your hard earned money?': 'https://twitter.com/Croesus_BTC/status/1327685971685478400', ""Création plan d'épargne BTC - 50€/mois, tuto avec une débutante ADB"": 'https://www.youtube.com/watch?v=mpT3kJDfRVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=21', 'Pourquoi épargner en bitcoin ? Bitstack': 'https://www.bitstack-app.com/blog/pourquoi-epargner-bitcoin', ""Butanuki (2023). Fumeur ? Si vous mettiez de côté la même somme pour votre futur? Pas en cash car l'inflation le fera fondre + vite qu'elle ne grandira!"": 'https://savings.butanuki.com/savings?since=2019-03-31', 'Paul Tudor Jones (2023). Legendary investor : Bitcoin\xa0""is the only thing that humans can\'t adjust the supply""': 'https://twitter.com/BitcoinMagazine/status/1658141146009284612', 'Bernstein Wealth Management (2023). Bitcoin outperforms Gold when there is massive monetary debasement': 'https://twitter.com/BTC_Archive/status/1645758152338558984'}"
5	Couverture contre l'inflation	3. Bitcoin pour conserver la valeur	Niveau 2	"{'J. Booth (2023). Prices will keep falling against bitcoin forever. Bitcoin Matrix': 'https://twitter.com/CedYoungelman/status/1612934016113467392', 'Michael Saylor \xa0(2022). ""The whole point of #bitcoin is to escape the inflation vortex that has consumed all these previous empires.” - Tucker Carlson': 'https://twitter.com/saylor/status/1650578219723022380', 'Entropy Dynamix (2022). 22M millionaires in America alone and there will only ever be 21M Bitcoin': 'https://twitter.com/EntropyDynamix/status/1649185272473550849', 'Mark Harvey (2022). The world is severely short Bitcoin': 'https://twitter.com/thepowerfulHRV/status/1649177224149606406'}"
6	Couverture contre l'inflation	3. Bitcoin pour conserver la valeur	Niveau 3	"{'Gigi (2023). Bitcoins Are Not Mined, They Are Issued over Time': 'https://dergigi.com/2023/04/12/bitcoins-are-not-mined-they-are-issued-over-time/', ""Jameson Lopp (2022). Securing bitcoin's scarcity: Fighting fake bitcoin"": 'https://blog.keys.casa/securing-bitcoins-scarcity/'}"
7	Protection du patrimoine	1. Des craintes légitimes	Niveau 1	"{""Brian Roemmele (2023). “Half in U.S. Worry About Their Money's Safety in Banks [...] Worse than any period in U.S. history”"": 'https://twitter.com/BrianRoemmele/status/1654117628972269568'}"
8	Protection du patrimoine	1. Des craintes légitimes	Niveau 2	{'L. A. Wankum (2023). The risk of property confiscation (and how Bitcon helps)': 'https://twitter.com/leonamschel/status/1645766894027145220?s=20', 'Marty Bent (2023). This feels like the endgame': 'https://tftc.io/martys-bent/issue-1340/'}
9	Protection du patrimoine	2.  Transmettre son patrimoine	Niveau 1	"{""Anil (2021). Protection du patrimoine. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Protection-du-patrimoine.png', ""Anil (2021). Réserve de valeur liquide. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Reserve-de-valeur-liquide.png', 'Croesus (2021). Much of the value stored in these buckets will flow into BTC': 'https://twitter.com/Croesus_BTC/status/1357860928511827968', 'Croesus (2021). Appreciation over time: Bitcoin vs. asset classes': 'https://twitter.com/Croesus_BTC/status/1343995433433980928', 'Michael Saylor (2023). The magic of Bitcoin is [...] transferring money to someone 10,000 days away."" The Bitcoin Matrix': 'https://twitter.com/CedYoungelman/status/1612934022883147777'}"
