	title	subtitle	level	links
0	Systèmes monétaires	1. Bitcoin s'inscrit dans l'histoire et l'évolution de la monnaie	Niveau 1	"{""Anil - L'évolution de la monnaie"": 'https://www.youtube.com/watch?v=N1AQY_aGHVQ', 'Anil - La convergence vers une monnaie unique...Pourquoi ?': 'https://www.youtube.com/watch?v=-3W2wd7wZ-I', 'Tomer Strolight (2020). 16. Pourquoi Bitcoin change le monde ?': 'https://btctouchpoint.com/pourquoi-bitcoin-16-pourquoi-le-bitcoin-change-le-monde/', ""Gigi (2018). Leçon #12 - L'histoire et le déclin de la monnaie dans 21 Leçons Partie II - Economie"": 'https://btctouchpoint.com/fr/21-lecons-2eme-partie/'}"
1	Systèmes monétaires	1. Bitcoin s'inscrit dans l'histoire et l'évolution de la monnaie	Niveau 2	"{'Vijay\xa0Boyapati (2018). Un scénario optimiste pour Bitcoin -': 'https://btctouchpoint.com/scenario-optimiste-pour-bitcoin/', 'Ferghane Azihari\xa0(2022). Qui contrôle la monnaie, à quoi sert-elle ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-23-pourquoi-le-bitcoin-est-bien-plus-que-de-largent/', 'Yorick de Mombynes (2022). Dépolitiser la monnaie': 'https://www.youtube.com/watch?v=DX8JorPfXn4', 'Yorick de Mombynes (2020). Les changements de régimes monétaires au 20ème siècle. Contrepoints': 'https://www.contrepoints.org/2021/04/10/371884-les-changements-de-regimes-monetaires-au-xxe-siecle', 'F. A. Hayek (1984). An interview with F.A. Hayek. Bitcoinized edition': 'https://btctouchpoint.com/wp-content/uploads/2023/01/An-interview-with-F.A.-Hayek.-Bitcoinized-edition.mp4', 'F. A. Hayek (1984). An interview with F.A. Hayek. Original edition': 'https://www.youtube.com/watch?v=s-k_Fc63tZI', 'Nick Szabo (2002). Shelling Out – The Origins of Money': 'https://nakamotoinstitute.org/shelling-out/', 'Saylor.org Academy - ECON120: Monetary History': 'https://learn.saylor.org/course/view.php?id=661', 'Académie Découvre Bitcoin (2022). Les monnaies fiduciaires': 'https://www.youtube.com/watch?v=1hOrDrmT27g&t=1s', ""Yves Choueffaty\xa0(2022). Darwinisme de l'évolution de la monnaie - Surfin'22"": 'https://btctouchpoint.com/wp-content/uploads/2023/01/Processus-darwinien.mp4', ""Khazzaka, Herlin et Choueffaty\xa0(2022). Les MDBC : risques ou opportunités ? Surfin'22"": 'https://www.youtube.com/watch?v=mo3kRRsQS_E', 'Money Files (2023). Pourquoi l’Euro Numérique Devrait Vous Terrifier.': 'https://www.youtube.com/watch?v=nRYrIyQWmi8', 'Pierre Corbin (2022). The Great Reset and the Rise of Bitcoin': 'https://www.youtube.com/watch?v=xw9VshkgxJ4'}"
2	Systèmes monétaires	1. Bitcoin s'inscrit dans l'histoire et l'évolution de la monnaie	Niveau 3	"{'Michael Goldstein (2021). Vers un ordre mondial nodal': 'https://btctouchpoint.com/fr/vers-un-ordre-mondial-nodal/', ""Robert Breedlove (2020). Maitres et esclaves de l'argent."": 'https://europeanbitcoiners.com/maitres-et-esclaves-de-largent/', 'Jeff Desjardin (2016). Currency and the Collapse of the Roman Empire': 'https://www.visualcapitalist.com/currency-and-the-collapse-of-the-roman-empire/', 'Jean-Pierre Centi (2020). L’incessante quête d’un ordre monétaire libre': 'https://journaldeslibertes.fr/article/lincessante-quete-dun-ordre-monetaire-libre/', 'Niall Ferguson (2023). Fiat History - Saifedean Ammous': 'https://www.youtube.com/watch?v=nw_el3w3SGU', ""Michel Khazzaka (2022). La vie d’un paiement FIAT - Surfin'22"": 'https://www.youtube.com/watch?v=LugE0aLY16I'}"
3	Systèmes monétaires	2. Défaillances de notre monnaie et supériorité de Bitcoin	Niveau 1	"{'Mèmes : Le désastre du système fiat': 'https://btctouchpoint.com/fr/ressources/memes/#FIAT', 'Yorick de Mombynes (2022). Faut-il réinventer la monnaie ?': 'https://www.youtube.com/watch?v=CVqcrWsckns', 'Alexandre Stachtchenko (2022). Quel avenir pour Bitcoin ? Liber-Thé': 'https://www.youtube.com/watch?v=qDRqbG-VLDM', 'Gigi (2018). Leçon #13 -La folie des réserves fractionnaires dans 21 Leçons': 'https://btctouchpoint.com/fr/21-lecons-2eme-partie/', 'Découvre Bitcoin (2020). Pourquoi le Bitcoin est-il si important ?!': 'https://www.youtube.com/watch?v=Iq0wZF3Ui9A&list=PLinTFKehfR4yOM86i_sWI3EwWaI6CSOPm&t=418s', 'Tomer Strolight (2020). 1. Pourquoi Bitcoin existe-t-il ?': 'https://btctouchpoint.com/fr/1-pourquoi-bitcoin-existe-t-il/', ""Tomer Strolight (2020). 9. Pourquoi Bitcoin est La Voie pour sauver l'argent"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-9-pourquoi-bitcoin-est-la-voie-pour-epargner-de-largent/', ""Tomer Strolight (2020). 14. Pourquoi Bitcoin mettra fin au plus grand hold-up de l'histoire ?"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-14-pourquoi-bitcoin-mettra-fin-au-plus-grand-hold-up-de-lhistoire/', ""Découvre Bitcoin (2022). L'hyperinflation"": 'https://www.youtube.com/watch?v=cYKmgflsy_8'}"
4	Systèmes monétaires	2. Défaillances de notre monnaie et supériorité de Bitcoin	Les défaillances de notre monnaie :	"{'Mèmes : monnaie supérieure - monnaie hi-tech - Antifragile': 'https://btctouchpoint.com/fr/ressources/memes/#superior', 'Michael Saylor (2023). Only Bitcoin meet these requirements': 'https://twitter.com/saylor/status/1620851880523100160?s=20', 'Bitcoin par rapport à la monnaie traditionnelle - BTC.fr': 'https://btctouchpoint.com/pourquoi-bitcoin-16-pourquoi-le-bitcoin-change-le-monde/', 'Tomer Strolight (2020). 2. Pourquoi Bitcoin ne ressemble à rien de ce que vous avez déjà vu': 'https://btctouchpoint.com/fr/2-pourquoi-bitcoin-ne-ressemble-a-rien-de-ce-que-vous-avez-deja-vu/', 'Tomer Strolight (2020). 6. Pourquoi les règles de Bitcoin sont imposées par les mathématiques et la physique': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-6-pourquoi-les-regles-de-bitcoin-sont-imposees-par-les-mathematiques-et-la-physique/', 'Tomer Strolight (2020). 8. Pourquoi Bitcoin est le chemin vers la stabilité économique': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-8-pourquoi-bitcoin-est-le-chemin-vers-la-stabilite-economique/', 'Tomer Strolight (2020). 21. Pourquoi Bitcoin peut gérer tout le commerce dans le monde': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-21-pourquoi-bitcoin-peut-gerer-tout-le-commerce-dans-le-monde/', 'Tomer Strolight (2020). 7. Pourquoi personne ne peut arrêter le bitcoin': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-7-pourquoi-personne-ne-peut-arreter-bitcoin/', ""Tomer Strolight (2020). 10. Pourquoi le pouvoir d'achat du bitcoin ne cesse d'augmenter ?"": 'https://btctouchpoint.com/fr/pourquoi-bitcoin-10-pourquoi-le-pouvoir-dachat-du-bitcoin-ne-cesse-daugmenter/', 'Tomer Strolight (2020). 13 Pourquoi Bitcoin est-il le plus grand gladiateur du monde ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-13-pourquoi-bitcoin-est-il-le-plus-grand-gladiateur-du-monde/', 'Tomer Strolight (2020). 18 Pourquoi Bitcoin attire des talents extraordinaires': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-18-pourquoi-bitcoin-attire-des-talents-extraordinaires/', 'Ray Dalio (2023). “There will be a competition of moneys, and Bitcoin is a part of that competition. I look at it as an alternative gold.” Bitcoin Magazine': 'https://twitter.com/BitcoinMagazine/status/1619853028328361984?s=20&t=Zsfa1RtKCGoWpo_4IWVOUw', ""Paul Tudor (2020). It's like investing early in a tech company. CNBC"": 'https://www.youtube.com/watch?v=D1LhLwA1EhE&t=8s', 'Paul Tudor (2020). Bitcoin is Maths and Maths never Fails': 'https://www.youtube.com/shorts/_Nc_P-xTEic', 'Stanley Druckenmiller (2022). Stanley Druckenmiller talks about Bitcoin. Zurich Crypto Journal': 'https://www.youtube.com/watch?v=EuyaqKZgezM'}"
5	Systèmes monétaires	2. Défaillances de notre monnaie et supériorité de Bitcoin	La supériorité de Bitcoin :	"{'Mèmes :\xa0Bitcoin vs. Altcoins': 'https://btctouchpoint.com/fr/ressources/memes/#Altcoins', 'Tomer Strolight (2020). 22 Pourquoi les imitateurs du bitcoin sont des escrocs': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-22-pourquoi-les-imitateurs-du-bitcoin-sont-des-escrocs/', 'CryptoJon (2022) La Théorie Maximaliste De Bitcoin': 'https://www.youtube.com/watch?v=IrL_4bsU1I4', 'Cory Klippsten (2022) ""Blockchain"" is like an airplane wing without the rest of the plane. Nice table or bench perhaps, but it doesn\'t fly!': 'https://twitter.com/coryklippsten/status/1624188885801795584?s=20'}"
6	Systèmes monétaires	2. Défaillances de notre monnaie et supériorité de Bitcoin	Bitcoin vs. les altcoins/autres crypto:	{'Naiive (2023). Bitcoin vs. Gold a la Mr Bean !': 'https://twitter.com/naiivememe/status/1651201936358768640', 'Brian Roemmele (2023). The closest man has come to creating a hell on earth. Serra Pelada gold mine.': 'https://twitter.com/BrianRoemmele/status/1628071455891271681', 'Bitcoin is Saving (2023). Gold is a scam, you can’t run a full node and fully verify it cheaply': 'https://twitter.com/BitcoinIsSaving/status/1632783013816696841?s=20'}
7	Systèmes monétaires	2. Défaillances de notre monnaie et supériorité de Bitcoin	Bitcoin vs. or	"{'Ferghane Azihari (2021). Bitcoin, la monnaie de référence de demain ?': 'https://www.youtube.com/watch?v=DouDH1wo9Tw', 'Michael Saylor (2020). Synopsis de la série Saylor du What is Money Show avec Robert Breedlove': 'https://btctouchpoint.com/fr/synopsis-de-la-serie-saylor-transcript-du-podcast-what-is-money-de-robert-breedlove/', 'WTF Happened In 1971 ?': 'https://wtfhappenedin1971.com/', 'rjames_BTC (2022). HardMoney': 'https://www.hardmoneyfilm.com/', ""Philippe Herlin (2022). L'Étalon-bitcoin de S. Ammous. Résumé"": 'https://btctouchpoint.com/fr/letalon-bitcoin-de-saifedean-ammous-resume/', ""Philippe Herlin (2022). L'Étalon-fiat de S. Ammous. Résumé"": 'https://btctouchpoint.com/fr/letalon-fiat-de-saifedean-ammous-resume/', 'Erik Voorhees (20??). Why fiat money is bad': 'https://twitter.com/_tonylewis/status/1653309540622823424', 'John Haar (2023). Fixed Supply Money Does Not Lead to Economic Collapse': 'https://www.swanbitcoin.com/why-a-fixed-supply-money-does-not-lead-to-economic-catastrophe/', 'Michael Saylor (2021). The Failure of Fiat Money -WiM Breedlove': 'https://www.youtube.com/watch?v=3S86lGIeWc4'}"
8	Systèmes monétaires	2. Défaillances de notre monnaie et supériorité de Bitcoin	Niveau 2	{'Cyril Grunspan (2023). Bitcoin : le tour de force. Bitcoin Blvd': 'https://www.youtube.com/watch?v=HLKWTwu_ETI', 'Alexandre Stachtchenko (2022). Fiat vs. Bitcoin vs. Crypto - GAC': 'https://www.youtube.com/watch?v=bc43oat1PHk&t=2s', 'Michael Saylor (2022). Bitcoin is Pure Economic Energy': 'https://btctouchpoint.com/wp-content/uploads/2022/11/Saylor-Pure-economic-energy@dergigi-33-Bitcoin-ENDGAME.mp4', 'Michael Saylor (2022). Bitcoin is Integrous Conservative Monetary System': 'https://btctouchpoint.com/wp-content/uploads/2022/11/Saylor-ConservativeMonetarySystem@dergigi-13-remastered.mp4', 'Michael Saylor (2022). Bitcoin is Pure Digital Energy': 'https://btctouchpoint.com/wp-content/uploads/2022/11/Saylor-Pure-Digitial-Energy@dergigi.mp4'}
12	Systèmes monétaires	3. Monnaie, préférence temporelle, et investissements	Niveau 1	{'Adam Back (2022). Blockstream CEO explains the positivity of Bitcoin changing individuals’ time preference.': 'https://twitter.com/Blockstream/status/1571443277542625281', 'Tomer Strolight (2020). 15. Pourquoi la civilisation a besoin de Bitcoin': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-15-pourquoi-la-civilisation-a-besoin-de-bitcoin/', 'Richard (2022). Runaway [Orange Pill Edition]': 'https://www.youtube.com/watch?v=YkxopBlMWLw&list=PLj9lDruPFtBljCFcLcoD3bd5pGUGmHZWV&index=7'}
