	title	subtitle	level	links
0	Asphyxie culturelle fiat	Notre régime monétaire fiat nourrit colère, nihilisme et désespoir	Niveau 1	{'Michael Maloney (2023). Keynes on Debauchery': 'https://twitter.com/mike_maloney/status/1660579640380112897', 'Guy Swann et al. (2022). When your money is meaningless, everything is': 'https://twitter.com/LPGeorgia/status/1578043875733786624?s=20&t=NmBsaemyjsM-uXgxEn9QMQ', 'Saifedean Ammous (2023). Tradition is a set of solutions for which we have forgotten the problem...': 'https://twitter.com/closetindexer1/status/1652955277375709184', 'Doc (2023). Percentage of adults identifying as LGBT...': 'https://twitter.com/DrBitcoinMD/status/1646699458955034626'}
1	Asphyxie culturelle fiat	Notre régime monétaire fiat nourrit colère, nihilisme et désespoir	Niveau 2	{'Saifedean Ammous (2018). Les avantages d’une monnaie dure dans L’Étalon-Bitcoin (Résumé de Philippe Herlin).': 'https://btctouchpoint.com/fr/letalon-bitcoin-de-saifedean-ammous-resume/', 'Saifedean Ammous (2021). Préférence temporelle dans L’Étalon-Fiat (Résumé de Philippe Herlin).': 'https://btctouchpoint.com/fr/letalon-fiat-de-saifedean-ammous-resume/', 'Jörg Guido Hülsmann (2017). Cultural Consequences of The Federal Reserve. Mises Institute': 'https://mises.org/wire/cultural-consequences-federal-reserve', 'Marty Bent (2022). Issue #1292: Perfectly Perverse Incentives. TFTC': 'https://tftc.io/martys-bent/issue-1292-perfectly-perverse-incentives/', 'Allen Farington (2022). Bitcoin and Islamic Finance. Baltic HB 2022': 'https://www.youtube.com/watch?v=3WG7uAQ5R9Y', 'J. Song (2023). Fiat ruins work but Bitcoin rewards those who add value. BM': 'https://bitcoinmagazine.com/culture/bitcoin-kills-rent-seeking', 'N. Hayase (2023). Broken Hearts: Bitcoin restores the soul of pychology. BM': 'https://images.saymedia-content.com/.image/cs_srgb/MTk1Njk1NzI3NDcxNjM0MzY5/bitcoin-magazine-broke-issuebroken-hearts-extract.pdf?utm_source=Bitcoin+Magazine+Store+%28Shopify%29&utm_campaign=3c71d42397-EMAIL_CAMPAIGN_2023_02_07_04_39&utm_medium=email&utm_term=0_55d2fc53fc-3c71d42397-%5BLIST_EMAIL_ID%5D&mc_cid=3c71d42397'}
2	Asphyxie culturelle fiat	Notre régime monétaire fiat nourrit colère, nihilisme et désespoir	Niveau 3	{'Allen Farington (2021). Bitcoin is Halal. Part XI of the Bitgenstein Serialization': 'https://allenfarrington.medium.com/bitcoin-is-halal-4a8f0560c3d0', 'J. Guido Hülsmann (2016). Cultural consequences of monetary interventions.': 'https://granem.univ-angers.fr/_resource/Cahiers/2016/DT_GRANEM_03_049.pdf?download=true'}
3	Racines cypherpunk	1. La culture de Bitcoin est d'essence cypherpunk	Niveau 1	"{'La Préhistoire de Bitcoin: illustration\xa0  EN \xa0 FR (DB)': 'https://btctouchpoint.com/wp-content/uploads/2022/12/Prehistory-of-bitcoin.jpg', 'La préhistoire de Bitcoin - Bitcoin 101 - ADB': 'https://www.youtube.com/watch?v=ljHLhTzrLsw', ""Rémi Forte et Julien Goetz (2021). Le mystère Satoshi : enquête sur l'inventeur du bitcoin. ARTE"": 'https://www.youtube.com/watch?v=0ETcLj5jBy4', 'Reason TV (2022). Cypherpunks Write Code': 'https://www.youtube.com/watch?v=9vM0oIEhMag&t=2s'}"
4	Racines cypherpunk	1. La culture de Bitcoin est d'essence cypherpunk	Niveau 2	"{'Les grandes dates de Bitcoin - Bitcoin.fr': 'https://bitcoin.fr/Histoire/', 'Yorick de Mombynes (2018).\xa0 Les racines philosophiques du bitcoin': 'https://yorickdem.medium.com/les-racines-philosophiques-du-bitcoin-17f397e30720', ""T. C. May (1988). Manifeste Crypto-Anarchiste - L'entonnoir du Bitcoin, DB"": 'https://decouvrebitcoin.com/la-librairie/articles/article-manifeste-crypto-anarchiste/', ""J.P Barlow (1996). Déclaration d'indépendance du cyberspace - DB"": 'https://decouvrebitcoin.com/la-librairie/articles/article-declaration-dindependance-du-cyberespace/', ""E. Hughes(1993). Manifeste d'un cypherpunk - DB"": 'https://decouvrebitcoin.com/la-librairie/articles/article-le-manifeste-dun-cypherpunk/'}"
5	Racines cypherpunk	1. La culture de Bitcoin est d'essence cypherpunk	Niveau 3	{'Tim May (1994). The Cyphernomicon': 'https://bitcoinwords.github.io/the-cyphernomicon'}
6	Racines cypherpunk	2. Devenir bitcoiner, en épouser les valeurs	Niveau 1	{'Tomer Strolight (2021). Rich or Poor, Bitcoiners Have What Money Can’t Buy.': 'https://tomerstrolight.medium.com/rich-or-poor-bitcoiners-have-what-money-cant-buy-a70d975f4775', 'Tomer Strolight (2021). Bitcoin est un test.': 'https://btctouchpoint.com/fr/bitcoin-est-un-test/'}
7	Contre-culture	1. Contre-culture	Niveau 1	"{""Bitcoin 200T (2023). “…here’s what Wall Street doesn’t understand about Bitcoiners… We're psychopaths!!!”"": 'https://twitter.com/Bitcoin200T/status/1635704383534153728', 'Carla (2022). Bitcoin is defiance': 'https://www.youtube.com/watch?v=9tuBn_FEFdg', 'TheRustyTwitt (2022). Gardez bien à l’esprit que nous tentons de changer les *normes sociales acceptées': 'https://btctouchpoint.com/wp-content/uploads/2023/02/Nous-tentons-de-changer-les-normes-sociales.jpg', 'Peter (2023). ""Are you guys psychopaths?""': 'https://twitter.com/PeterMaxi21/status/1616394677141311488?s=20&t=nqQ1AHXObboy3gfbiUvbag', 'Michael Saylor (2023). Who is Satoshi Nakamoto?': 'https://twitter.com/_BitcoinMatrix/status/1606360960901398528', 'Calle (2023). If you are interested in the success of Bitcoin you should welcome everyone who can join': 'https://twitter.com/JoeNakamoto/status/1648748825740296193', ""Eric Voskuil (2023). There is no value proposition in Bitcoin\u202f\u202funless you're willing to be black market"": 'https://twitter.com/discoveringbtc/status/1648258434037583873'}"
8	Contre-culture	1. Contre-culture	Niveau 2	"{'Rigel Walshe (2022).\xa0 Bitcoin Psychopathes contre bitcoin sociopathes': 'https://btctouchpoint.com/fr/bitcoin-psychopathes-vs-bitcoin-sociopathes-rigel-walshe/', 'Giacomo Zucco (2022). Bitcoin Cultures. Unconfiscatable 2022': 'https://www.youtube.com/watch?v=GgFQgfssHBo&t=2s', 'Sergej Kotliar (2023). Bitcoin cultures & growing Bitcoin use in A Bitcoin Reality Check. What Bitcoin Did': 'https://www.youtube.com/watch?v=78iYxGLQoxg&t=3711s', 'Giacomo Zucco (2023). ""Bitcoin Cultures"" presentation for Strike': 'https://www.youtube.com/watch?v=Otoz02b9PiY&t=8s'}"
9	Contre-culture	1. Contre-culture	Niveau 3	{'Nic Carter (2019). A most peaceful revolution.': 'https://medium.com/@nic__carter/a-most-peaceful-revolution-8b63b64c203e'}
