	title	subtitle	level	links
0	Préférence temporelle	Rabaisser notre préférence temporelle	Niveau 1	{'S. Ammous (2023). Fiat is a way of getting everyone to be a debt slave with no potential of thinking for the future [...] Bitcoin fixes this. The Bitcoin Matrix': 'https://twitter.com/_BitcoinMatrix/status/1611885629041774595', 'FloodSanDiego (2010). The Marshmallow Experiment - Instant Gratification': 'https://www.youtube.com/watch?v=Yo4WF3cSd9Q', 'W. Mischel (2015). The Marshmallow Test. The Brainwaves Video Anthology': 'https://www.youtube.com/watch?v=XcmrCLL7Rtw'}
1	Préférence temporelle	Rabaisser notre préférence temporelle	Niveau 2	"{""Alexandre Stachtchenko (2015). Epargne et préférence temporelle dans Nos libertés sont attaquées et tout le monde s'en fout ! GAC"": 'https://youtu.be/cwqJOl3yan8?t=3292', ""Saifedean Ammous (2022). La préférence temporelle dans Résumé de l'Etalon-fiat par Philippe Herlin."": 'https://btctouchpoint.com/fr/letalon-fiat-de-saifedean-ammous-resume/', ""Saifedean Ammous (2022). Préférence temporelle et alimentation (test du marshmallow) dans La récolte de la nourriture Fiat, extrait de l'Etalon-Fiat."": '/', 'S. Ammous (2022). Making Time Preference Low Again. The Bitcoin Times': 'https://bitcointimes.io/making-time-preference-low-again/', 'M-E Dupont (2023). Elevation de la préf. temporelle - le tout tout de suite - avant la crise COVID dans Malaise psychique dans la pop. française. Cercle Aristote': 'https://youtu.be/ERqxZMgKExM?t=947', 'Richard Reel (2023). Making Bitcoin-Inspired Music Videos. Bitcoin Rapid-Fire': 'https://www.youtube.com/watch?v=8vJCub3Lvgc'}"
2	Recâblage / Mise-à-jour	Reconfigurer notre représentation du monde	Niveau 1	{'Erik Cason (2023). Bitcoin is making us rich in terms of the actual knowledge that we have. The Bitcoin Matrix Podcast': 'https://twitter.com/_BitcoinMatrix/status/1630055881231552513', 'T. Cross (2022). Bitcoin is Transforming the Human Experience - Swan Bitcoin': 'https://www.youtube.com/shorts/T80q6Rq00E4', 'Guy Swann (2022). Exit Fiat, Enter Bitcoin - A Matrix Meme': 'https://www.youtube.com/watch?v=nOh-7SzI6gM', 'Richard (2022). Where is My Mind ft. J Vallis & American HODL': 'https://www.youtube.com/watch?v=Q3aLqqWQhxY'}
3	Recâblage / Mise-à-jour	Reconfigurer notre représentation du monde	Niveau 2	{'Nozomi Hayase (2022). The Bitcoin Rabbit Hole: Birthing of a New Humanity. The Way of the Heart': 'https://nozomihayase.substack.com/p/the-bitcoin-rabbit-hole-birthing', 'R. Breedlove (2022). On Bitcoin metathinking - Dea Rezkitha': 'https://www.youtube.com/watch?v=FghX65-KnKI', 'J. Vallis (2021). Bitcoin allowed all my previous interests and knowledge to converge in something that is relevant in Bullish on Bitcoiners. Bitcoin Matrix': 'https://youtu.be/xqqLVXSSGuo?t=1716'}
4	Recâblage / Mise-à-jour	Reconfigurer notre représentation du monde	Niveau 3	{'Robert Breedlove (2020). The Number Zero and Bitcoin.': 'https://breedlove22.medium.com/the-number-zero-and-bitcoin-4c193336db5b', 'Gigi (2019). Bitcoin’s Eternal Struggle - How Bitcoin Thrives on the Edge between Order and Chaos': 'https://medium.com/the-bitcoin-times/bitcoins-eternal-struggle-2c197f1bafd8'}
5	Entrainement émotionnel	Apprendre à gérer les  émotions négatives	Niveau 1	{'Tomer Strolight (2019). 19 - Pourquoi il ne faut pas avoir peur du bitcoin ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-19-pourquoi-il-ne-faut-pas-avoir-peur-du-bitcoin/', 'Croesus (2022). For the vast majority of people bitcoin is not just a financial risk, but a psychological and emotional risk.': 'https://twitter.com/Bitcoin200T/status/1587214565304999936?s=20&t=hg0k5AzOqZGaE38rPVnTRg', 'Tuur Demeester (2017). 19 - The HODL attitude requires psychological & emotional work.': 'https://twitter.com/TuurDemeester/status/939512889022574592', 'Croesus (2023). You buy BTC when you are prepared to admit that you were wrong about Bitcoin': 'https://twitter.com/_BitcoinMatrix/status/1584337433591545856', 'Michael Saylor (2022). Stay cheerful and constructive in My advice if you are entering into adulthood': 'https://btctouchpoint.com/wp-content/uploads/2023/03/My-mom-just-sent-me-this-video-because-she-liked-it.-Feels-good.-.mp4', 'Naiive (2023). Bitcoin : Bull Market Joy': 'https://twitter.com/naiivememe/status/1616537432119476224', 'Naiive (2023). Number go up again!': 'https://twitter.com/Excellion/status/1614085624004481024', 'Wall St. Cheat Sheet. Psychology of a market cycle': 'https://btctouchpoint.com/wp-content/uploads/2023/03/Psychology-of-a-marketcycle.jpg', 'Naiive (2023). Hodler Bitcoin : Les montagne russes émotionnelles': 'https://twitter.com/naiivememe/status/1616537432119476224'}
6	Entrainement émotionnel	Apprendre à gérer les  émotions négatives	Niveau 2	"{'Michael Saylor (2023). ""It\'s emotionally torturous for investors that aren\'t really extremely well-educated bitcoiners to handle this volatility"" in 10 Rules for Life. What Bitcoin Did': 'https://youtu.be/-w-aYVXcOk4?t=6370', ""@TheRationalRoot Hodl'ers Cheat Sheet. Psychology of a market cycle II"": 'https://btctouchpoint.com/wp-content/uploads/2023/03/Psychology-of-a-marketcycle-II.jpg'}"
7	Réalisation de soi	Décortiquer,  dénouer, révéler	Niveau 1	{'Tomer Strolight (2020). 24. Pourquoi vous avez besoin de Bitcoin ?': 'https://btctouchpoint.com/fr/pourquoi-bitcoin-24-pourquoi-vous-avez-besoin-de-bitcoin/', 'Anil (2023). The price of admission to bitcoin is your ego. The price of admission to fiat is your soul.': 'https://twitter.com/anilsaidso/status/1637839491116453889?s=20', 'Nozomi Hayase (2023). When human beings are allowed to act out of love they produce a lot of valuable things in the world. The Bitcoin Matrix': 'https://twitter.com/CedYoungelman/status/1627487282713223170', 'Erik Cason (2023). The real power of Bitcoin is a secret.': 'https://twitter.com/Erikcason/status/1635478641856614401'}
8	Réalisation de soi	Décortiquer,  dénouer, révéler	Niveau 2	"{'John Vallis (2021). ""I\'ve got to step up and do what seems right and true to me"" in Bullish on Bitcoiners. The Bitcoin Matrix': 'https://youtu.be/xqqLVXSSGuo?t=1318', 'John Vallis and BB (2021). First Hand Account of a \'Bitcoin Transformation (38""). Bitcoin Rapid Fire': 'https://www.youtube.com/watch?v=wzngK-zgt7o&list=PL8GxRkxnvMl0SI_-85UNfxXRo8rQJqIHU&t=2280s', 'Jeff Booth (2023). Ego Death Through Bitcoin. WiM': 'https://www.youtube.com/watch?v=PiSsxVM0B-U'}"
9	Réalisation de soi	Bitcoin stimule l'intérêt pour la spiritualité	Niveau 1	"{'Pierre Rochard (2022). You spend more time on yourself and your family and spirituality': 'https://twitter.com/CedYoungelman/status/1606498374764695554?s=20', 'Der Gigi (2021). ""Religious language is the only language that seems to work - for me, at least - to express these kinds of thoughts [...] I self-identified as an atheist for 15+ years""': 'https://twitter.com/dergigi/status/1451681920044212229'}"
10	Réalisation de soi	Bitcoin stimule l'intérêt pour la spiritualité	Niveau 2	"{'John Vallis (2021). ""Bitcoin representes a tool that can dissolve away all the despair that I felt...reorient and restructure..."" \xa0The Bitcoin Matrix': 'https://youtu.be/xqqLVXSSGuo?t=1753', 'Tomer Strolight (2022). The Legendary Treasure of Satoshi Nakamoto': 'https://tomerstrolight.medium.com/the-legendary-treasure-of-satoshi-nakamoto-c3621c5b2106', 'Tomer Strolight (2022). The Lesson of the Golden Teacher': 'https://tomerstrolight.medium.com/the-lesson-of-the-golden-teacher-ee133f98efde', 'Tomer Strolight (2022). Proof of God.': 'https://tomerstrolight.medium.com/proof-of-god-5b98e0977c3a', ""Strolight (2021). Becoming Your 'Bitcoin-Self'. J. Vallis - Bitcoin Rapid-Fire"": 'https://www.youtube.com/watch?v=lQsVjSMfjS8', 'Hodl Hang Crew (2022). Exploring the Mythological & Spiritual Implications of Bitcoin. Bitcoin Rapid-Fire': 'https://www.youtube.com/watch?v=t2gCpaqmUMk'}"
