title,subtitle,level,description,links,quadrant
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 1,anil - l'evolution de la monnaie,https://www.youtube.com/watch?v=N1AQY_aGHVQ, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 1,anil - la convergence vers une monnaie unique...pourquoi ?,https://www.youtube.com/watch?v=-3W2wd7wZ-I, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 1,tomer strolight (2020). 16. pourquoi bitcoin change le monde ?,https://btctouchpoint.com/pourquoi-bitcoin-16-pourquoi-le-bitcoin-change-le-monde/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 1,gigi (2018). lecon #12 - l'histoire et le declin de la monnaie dans 21 lecons partie ii - economie,https://btctouchpoint.com/fr/21-lecons-2eme-partie/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,vijay boyapati (2018). un scenario optimiste pour bitcoin -,https://btctouchpoint.com/scenario-optimiste-pour-bitcoin/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,"ferghane azihari (2022). qui controle la monnaie, a quoi sert-elle ?",https://btctouchpoint.com/fr/pourquoi-bitcoin-23-pourquoi-le-bitcoin-est-bien-plus-que-de-largent/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,yorick de mombynes (2022). depolitiser la monnaie,https://www.youtube.com/watch?v=DX8JorPfXn4, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,yorick de mombynes (2020). les changements de regimes monetaires au 20eme siecle. contrepoints,https://www.contrepoints.org/2021/04/10/371884-les-changements-de-regimes-monetaires-au-xxe-siecle, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,f. a. hayek (1984). an interview with f.a. hayek. bitcoinized edition,https://btctouchpoint.com/wp-content/uploads/2023/01/An-interview-with-F.A.-Hayek.-Bitcoinized-edition.mp4, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,f. a. hayek (1984). an interview with f.a. hayek. original edition,https://www.youtube.com/watch?v=s-k_Fc63tZI, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,nick szabo (2002). shelling out - the origins of money,https://nakamotoinstitute.org/shelling-out/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,saylor.org academy - econ120: monetary history,https://learn.saylor.org/course/view.php?id=661, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,academie decouvre bitcoin (2022). les monnaies fiduciaires,https://www.youtube.com/watch?v=1hOrDrmT27g&t=1s, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,yves choueffaty (2022). darwinisme de l'evolution de la monnaie - surfin'22,https://btctouchpoint.com/wp-content/uploads/2023/01/Processus-darwinien.mp4, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,"khazzaka, herlin et choueffaty (2022). les mdbc : risques ou opportunites ? surfin'22",https://www.youtube.com/watch?v=mo3kRRsQS_E, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,money files (2023). pourquoi l'euro numerique devrait vous terrifier.,https://www.youtube.com/watch?v=nRYrIyQWmi8, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 2,pierre corbin (2022). the great reset and the rise of bitcoin,https://www.youtube.com/watch?v=xw9VshkgxJ4, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 3,michael goldstein (2021). vers un ordre mondial nodal,https://btctouchpoint.com/fr/vers-un-ordre-mondial-nodal/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 3,robert breedlove (2020). maitres et esclaves de l'argent.,https://europeanbitcoiners.com/maitres-et-esclaves-de-largent/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 3,jeff desjardin (2016). currency and the collapse of the roman empire,https://www.visualcapitalist.com/currency-and-the-collapse-of-the-roman-empire/, comment bitcoin change societe
systemes monetaires,1. bitcoin s'inscrit dans l'histoire et l'evolution de la monnaie,niveau 3,jean-pierre centi (2020). l'incessante quete d'un ordre monetaire libre,https://journaldeslibertes.fr/article/lincessante-quete-dun-ordre-monetaire-libre/, comment bitcoin change societe
